movie_name,categories,movie_rate,description,country,release_date,duration,movie_link
Guys at Parties Like It,"Horror, Thriller, Drama",4.0,"As part of a brutal hazing ritual, a young frat pledge leads a wasted girl upstairs to swipe his v-card, only to discover getting lucky isn't so easy.",USA,2024,79,https://goku.sx/movie/watch-guys-at-parties-like-it-111631
Find Me Falling,"Romance, Comedy, Music",6.3,"After a failed comeback album, rock star John Allman escapes to a dreamy Mediterranean island, only to discover that his new cliffside home has an unfortunate notoriety that attracts unwanted visitors and an old flame.",USA,2024,93,https://goku.sx/movie/watch-find-me-falling-111628
The Sleeping Woman,Thriller,5.2,"Ana, a nursing assistant, begins to feel attracted to Agustín, the husband of the woman in a vegetative state that she has been hired to take care of. Soon she begins to be harassed by strange paranormal phenomena that seem to try to throw her out of the house and separate her from Agustín.","Spain, USA",2024,110,https://goku.sx/movie/watch-the-sleeping-woman-111622
Terrestrial Verses,"Drama, Comedy",7.4,"A satirical take on the mundane absurdities of life in modern-day Iran, these nine vignettes illuminate the lighter side of enduring under authoritarian rule. Whether choosing a name for a newborn, graduating from grade school, getting a driver’s license, applying for a job, or seeking approval for a film script, if you live in Iran, you best come fluent in Orwellian discourse. Progressing along a rough timeline from birth to death, each story is shot in a static camera angle as a single petitioner negotiates with an authority figure hovering just outside of frame, who is practiced in the language of doublespeak.",,2023,77,https://goku.sx/movie/watch-terrestrial-verses-111619
Adam the First,Drama,6.0,"Adam, a 14-year-old boy travels across the country to meet a series of men who could be his father after finding a letter with a list of names and addresses.",USA,2024,103,https://goku.sx/movie/watch-adam-the-first-111601
My Spy: The Eternal City,"Action, Comedy",5.6,Veteran CIA operative JJ and his 14-year-old stepdaughter and protégé Sophie reunite to save the world when a high school choir tour of Italy is interrupted by a nefarious nuclear plot targeting the Vatican.,USA,2024,111,https://goku.sx/movie/watch-my-spy-the-eternal-city-111574
The Blue Rose,"Fantasy, Horror, Mystery",3.9,"In the 1950s, two rookie detectives as set out to solve a homicide, only to find themselves in an alternate reality made up of their worst nightmares.",USA,2024,103,https://goku.sx/movie/watch-the-blue-rose-111430
"Signed, Sealed, Delivered: A Tale of Three Letters","Drama, TV Movie, Mystery, Crime",7.3,"The POstables are back identifying the intended recipients of a trio of dead letters which have a surprising, personal impact on all of them. Stars Eric Mabius, Kristin Booth, Crystal Lowe, Geoff Gustafson, Rhiannon Fish.",USA,2024,84,https://goku.sx/movie/watch-signed-sealed-delivered-a-tale-of-three-letters-111427
Rule of Thirds,"Drama, Thriller",5.3,"A successful high-end fashion photographer scouts a new model, who watches as their instant connection leads to dangerous consequences.",USA,2024,108,https://goku.sx/movie/watch-rule-of-thirds-111424
Ocean Rescue,Action,6.3,The first maritime anti-terrorist film in China tells the story of the anti-terrorist personnel of the Chinese police who work closely with the Chinese Navy to finally end the crisis.,China,2023,94,https://goku.sx/movie/watch-ocean-rescue-111421
Justice League: Crisis on Infinite Earths Part Three,"Animation, Science Fiction, Action",6.0,"Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?",USA,2024,98,https://goku.sx/movie/watch-justice-league-crisis-on-infinite-earths-part-three-111448
Lowlifes,"Horror, Thriller",6.3,The survival instincts of a road-tripping family are put to the test when they have no other choice but to stay the night at a remote homestead.,Canada,2024,90,https://goku.sx/movie/watch-lowlifes-111367
Faye,Documentary,7.2,"Through honest reflection, complemented by insight from colleagues and friends, Faye Dunaway contextualizes her life and filmography, laying bare her struggles with mental health while confronting the double standards she was subjected to as a woman in Hollywood.",USA,2024,94,https://goku.sx/movie/watch-faye-111364
Wildcat,Drama,5.8,"Can scandalous art still serve God? Does suffering precede all greatness? Can illness be a blessing? In 1950, writer Flannery O'Connor visits her mother Regina in Georgia when she is diagnosed with lupus at twenty-four years old. Struggling with the same disease that took her father’s life when she was a child and desperate to make her mark as a great writer, this crisis pitches her imagination into a feverish exploration of belief.",USA,2024,105,https://goku.sx/movie/watch-wildcat-111358
